Year,Disease,Number of reported cases,"Rate per 100,000"
1955,Tetanus,,
1956,Tetanus,,
1957,Tetanus,9,0.06
1958,Tetanus,10,0.06
1959,Tetanus,10,0.06
1960,Tetanus,12,0.07
1961,Tetanus,19,0.1
1962,Tetanus,9,0.05
1963,Tetanus,11,0.06
1964,Tetanus,15,0.08
1965,Tetanus,9,0.05
1966,Tetanus,5,0.03
1967,Tetanus,12,0.06
1968,Tetanus,9,0.04
1969,Tetanus,7,0.03
1970,Tetanus,11,0.05
1971,Tetanus,6,0.03
1972,Tetanus,3,0.01
1973,Tetanus,3,0.01
1974,Tetanus,8,0.04
1975,Tetanus,1,0.004
1976,Tetanus,7,0.03
1977,Tetanus,9,0.04
1978,Tetanus,5,0.02
1979,Tetanus,0,0
1980,Tetanus,0,0
1981,Tetanus,0,0
1982,Tetanus,0,0
1983,Tetanus,6,0.02
1984,Tetanus,2,0.01
1985,Tetanus,9,0.03
1986,Tetanus,4,0.02
1987,Tetanus,7,0.03
1988,Tetanus,3,0.01
1989,Tetanus,4,0.01
1990,Tetanus,6,0.02
1991,Tetanus,4,0.01
1992,Tetanus,4,0.01
1993,Tetanus,10,0.03
1994,Tetanus,4,0.01
1995,Tetanus,7,0.02
1996,Tetanus,3,0.01
1997,Tetanus,4,0.01
1998,Tetanus,2,0.01
1999,Tetanus,6,0.02
2000,Tetanus,4,0.01
2001,Tetanus,8,0.03
2002,Tetanus,1,0.003
2003,Tetanus,1,0.003
2004,Tetanus,3,0.01
2005,Tetanus,4,0.01
2006,Tetanus,2,0.01
2007,Tetanus,6,0.02
2008,Tetanus,2,0.01
2009,Tetanus,2,0.01
2010,Tetanus,4,0.01
2011,Tetanus,2,0.01
2012,Tetanus,4,0.01
2013,Tetanus,2,0.01
2014,Tetanus,6,0.02
2015,Tetanus,4,0.01
2016,Tetanus,5,0.01
2017,Tetanus,4,0.01
2018,Tetanus,1,0.003
2019,Tetanus,4,0.01
2020,Tetanus,3,0.01
2021,Tetanus,4,0.01
1924,Trichinosis,,
1925,Trichinosis,,
1926,Trichinosis,,
1927,Trichinosis,,
1928,Trichinosis,,
1929,Trichinosis,7,0.18
1930,Trichinosis,,
1931,Trichinosis,0,0
1932,Trichinosis,0,0
1933,Trichinosis,1,0.02
1934,Trichinosis,2,0.03
1935,Trichinosis,0,0
1936,Trichinosis,1,0.01
1937,Trichinosis,0,0
1938,Trichinosis,0,0
1939,Trichinosis,0,0
1940,Trichinosis,17,0.17
1941,Trichinosis,3,0.04
1942,Trichinosis,6,0.08
1943,Trichinosis,23,0.32
1944,Trichinosis,1,0.01
1945,Trichinosis,1,0.01
1946,Trichinosis,1,0.01
1947,Trichinosis,2,0.03
1948,Trichinosis,1,0.01
1949,Trichinosis,9,0.08
1950,Trichinosis,12,0.1
1951,Trichinosis,2,0.02
1952,Trichinosis,12,0.09
1953,Trichinosis,28,0.2
1954,Trichinosis,3,0.02
1955,Trichinosis,1,0.01
1956,Trichinosis,3,0.03
1957,Trichinosis,24,0.16
1958,Trichinosis,18,0.11
1959,Trichinosis,11,0.06
1960,Trichinosis,105,0.64
1961,Trichinosis,99,0.59
1962,Trichinosis,43,0.23
1963,Trichinosis,43,0.23
1964,Trichinosis,22,0.11
1965,Trichinosis,40,0.2
1966,Trichinosis,98,0.49
1967,Trichinosis,8,0.04
1968,Trichinosis,14,0.07
1969,Trichinosis,7,0.03
1970,Trichinosis,6,0.03
1971,Trichinosis,3,0.01
1972,Trichinosis,16,0.07
1973,Trichinosis,14,0.06
1974,Trichinosis,49,0.22
1975,Trichinosis,7,0.03
1976,Trichinosis,41,0.18
1977,Trichinosis,16,0.07
1978,Trichinosis,32,0.13
1979,Trichinosis,46,0.19
1980,Trichinosis,15,0.06
1981,Trichinosis,11,0.04
1982,Trichinosis,15,0.06
1983,Trichinosis,9,0.04
1984,Trichinosis,27,0.11
1985,Trichinosis,0,0
1986,Trichinosis,9,0.03
1987,Trichinosis,6,0.02
1988,Trichinosis,11,0.04
1989,Trichinosis,14,0.05
1990,Trichinosis,14,0.05
1991,Trichinosis,40,0.14
1992,Trichinosis,47,0.17
1993,Trichinosis,9,0.03
1994,Trichinosis,0,0
1995,Trichinosis,8,0.03
1996,Trichinosis,3,0.01
1997,Trichinosis,19,0.06
1998,Trichinosis,61,0.2
1999,Trichinosis,43,0.14
2000,Trichinosis,,
2001,Trichinosis,,
2002,Trichinosis,,
2003,Trichinosis,,
2004,Trichinosis,,
2005,Trichinosis,,
2006,Trichinosis,,
2007,Trichinosis,,
2008,Trichinosis,,
2009,Trichinosis,,
2010,Trichinosis,,
2011,Trichinosis,,
2012,Trichinosis,,
2013,Trichinosis,,
2014,Trichinosis,,
2015,Trichinosis,,
2016,Trichinosis,,
2017,Trichinosis,,
2018,Trichinosis,,
2019,Trichinosis,,
2020,Trichinosis,,
2021,Trichinosis,,
1924,Tularemia,,
1925,Tularemia,,
1926,Tularemia,,
1927,Tularemia,,
1928,Tularemia,,
1929,Tularemia,,
1930,Tularemia,,
1931,Tularemia,8,0.18
1932,Tularemia,9,0.2
1933,Tularemia,9,0.2
1934,Tularemia,10,0.17
1935,Tularemia,7,0.13
1936,Tularemia,0,0
1937,Tularemia,1,0.01
1938,Tularemia,1,0.01
1939,Tularemia,3,0.04
1940,Tularemia,5,0.07
1941,Tularemia,6,0.09
1942,Tularemia,4,0.06
1943,Tularemia,6,0.08
1944,Tularemia,7,0.1
1945,Tularemia,1,0.01
1946,Tularemia,1,0.01
1947,Tularemia,4,0.05
1948,Tularemia,4,0.05
1949,Tularemia,2,0.02
1950,Tularemia,14,0.11
1951,Tularemia,2,0.02
1952,Tularemia,11,0.08
1953,Tularemia,6,0.04
1954,Tularemia,5,0.06
1955,Tularemia,17,0.19
1956,Tularemia,4,0.04
1957,Tularemia,0,0
1958,Tularemia,3,0.02
1959,Tularemia,7,0.04
1960,Tularemia,8,0.05
1961,Tularemia,4,0.02
1962,Tularemia,3,0.02
1963,Tularemia,3,0.02
1964,Tularemia,4,0.02
1965,Tularemia,1,0.01
1966,Tularemia,3,0.02
1967,Tularemia,10,0.05
1968,Tularemia,12,0.06
1969,Tularemia,5,0.02
1970,Tularemia,1,0.01
1971,Tularemia,1,0.01
1972,Tularemia,0,0
1973,Tularemia,1,0.004
1974,Tularemia,8,0.04
1975,Tularemia,2,0.01
1976,Tularemia,35,0.15
1977,Tularemia,5,0.02
1978,Tularemia,6,0.03
1979,Tularemia,0,0
1980,Tularemia,0,0
1981,Tularemia,0,0
1982,Tularemia,0,0
1983,Tularemia,,
1984,Tularemia,,
1985,Tularemia,,
1986,Tularemia,,
1987,Tularemia,,
1988,Tularemia,,
1989,Tularemia,,
1990,Tularemia,,
1991,Tularemia,,
1992,Tularemia,,
1993,Tularemia,,
1994,Tularemia,,
1995,Tularemia,,
1996,Tularemia,,
1997,Tularemia,,
1998,Tularemia,,
1999,Tularemia,,
2000,Tularemia,,
2001,Tularemia,,
2002,Tularemia,1,0.003
2003,Tularemia,9,0.03
2004,Tularemia,12,0.04
2005,Tularemia,22,0.07
2006,Tularemia,11,0.03
2007,Tularemia,13,0.04
2008,Tularemia,6,0.02
2009,Tularemia,8,0.02
2010,Tularemia,6,0.02
2011,Tularemia,6,0.02
2012,Tularemia,10,0.03
2013,Tularemia,9,0.03
2014,Tularemia,10,0.03
2015,Tularemia,13,0.04
2016,Tularemia,7,0.02
2017,Tularemia,4,0.01
2018,Tularemia,6,0.02
2019,Tularemia,5,0.01
2020,Tularemia,5,0.01
2021,Tularemia,4,0.01
1924,Human Immunodeficiency Virus Infection,,
1925,Human Immunodeficiency Virus Infection,,
1926,Human Immunodeficiency Virus Infection,,
1927,Human Immunodeficiency Virus Infection,,
1928,Human Immunodeficiency Virus Infection,,
1929,Human Immunodeficiency Virus Infection,,
1930,Human Immunodeficiency Virus Infection,,
1931,Human Immunodeficiency Virus Infection,,
1932,Human Immunodeficiency Virus Infection,,
1933,Human Immunodeficiency Virus Infection,,
1934,Human Immunodeficiency Virus Infection,,
1935,Human Immunodeficiency Virus Infection,,
1936,Human Immunodeficiency Virus Infection,,
1937,Human Immunodeficiency Virus Infection,,
1938,Human Immunodeficiency Virus Infection,,
1939,Human Immunodeficiency Virus Infection,,
1940,Human Immunodeficiency Virus Infection,,
1941,Human Immunodeficiency Virus Infection,,
1942,Human Immunodeficiency Virus Infection,,
1943,Human Immunodeficiency Virus Infection,,
1944,Human Immunodeficiency Virus Infection,,
1945,Human Immunodeficiency Virus Infection,,
1946,Human Immunodeficiency Virus Infection,,
1947,Human Immunodeficiency Virus Infection,,
1948,Human Immunodeficiency Virus Infection,,
1949,Human Immunodeficiency Virus Infection,,
1950,Human Immunodeficiency Virus Infection,,
1951,Human Immunodeficiency Virus Infection,,
1952,Human Immunodeficiency Virus Infection,,
1953,Human Immunodeficiency Virus Infection,,
1954,Human Immunodeficiency Virus Infection,,
1955,Human Immunodeficiency Virus Infection,,
1956,Human Immunodeficiency Virus Infection,,
1957,Human Immunodeficiency Virus Infection,,
1958,Human Immunodeficiency Virus Infection,,
1959,Human Immunodeficiency Virus Infection,,
1960,Human Immunodeficiency Virus Infection,,
1961,Human Immunodeficiency Virus Infection,,
1962,Human Immunodeficiency Virus Infection,,
1963,Human Immunodeficiency Virus Infection,,
1964,Human Immunodeficiency Virus Infection,,
1965,Human Immunodeficiency Virus Infection,,
1966,Human Immunodeficiency Virus Infection,,
1967,Human Immunodeficiency Virus Infection,,
1968,Human Immunodeficiency Virus Infection,,
1969,Human Immunodeficiency Virus Infection,,
1970,Human Immunodeficiency Virus Infection,,
1971,Human Immunodeficiency Virus Infection,,
1972,Human Immunodeficiency Virus Infection,,
1973,Human Immunodeficiency Virus Infection,,
1974,Human Immunodeficiency Virus Infection,,
1975,Human Immunodeficiency Virus Infection,,
1976,Human Immunodeficiency Virus Infection,,
1977,Human Immunodeficiency Virus Infection,,
1978,Human Immunodeficiency Virus Infection,,
1979,Human Immunodeficiency Virus Infection,,
1980,Human Immunodeficiency Virus Infection,,
1981,Human Immunodeficiency Virus Infection,,
1982,Human Immunodeficiency Virus Infection,,
1983,Human Immunodeficiency Virus Infection,,
1984,Human Immunodeficiency Virus Infection,,
1985,Human Immunodeficiency Virus Infection,,
1986,Human Immunodeficiency Virus Infection,,
1987,Human Immunodeficiency Virus Infection,,
1988,Human Immunodeficiency Virus Infection,,
1989,Human Immunodeficiency Virus Infection,,
1990,Human Immunodeficiency Virus Infection,,
1991,Human Immunodeficiency Virus Infection,,
1992,Human Immunodeficiency Virus Infection,,
1993,Human Immunodeficiency Virus Infection,,
1994,Human Immunodeficiency Virus Infection,,
1995,Human Immunodeficiency Virus Infection,2912,9.94
1996,Human Immunodeficiency Virus Infection,2705,9.14
1997,Human Immunodeficiency Virus Infection,2403,8.04
1998,Human Immunodeficiency Virus Infection,2198,7.29
1999,Human Immunodeficiency Virus Infection,2094,6.89
2000,Human Immunodeficiency Virus Infection,1962,6.39
2001,Human Immunodeficiency Virus Infection,2094,6.75
2002,Human Immunodeficiency Virus Infection,2309,7.36
2003,Human Immunodeficiency Virus Infection,2318,7.33
2004,Human Immunodeficiency Virus Infection,2329,7.29
2005,Human Immunodeficiency Virus Infection,2299,7.13
2006,Human Immunodeficiency Virus Infection,2338,7.18
2007,Human Immunodeficiency Virus Infection,2259,6.87
2008,Human Immunodeficiency Virus Infection,2451,7.37
2009,Human Immunodeficiency Virus Infection,2210,6.57
2010,Human Immunodeficiency Virus Infection,2147,6.31
2011,Human Immunodeficiency Virus Infection,2118,6.17
2012,Human Immunodeficiency Virus Infection,1911,5.5
2013,Human Immunodeficiency Virus Infection,1926,5.49
2014,Human Immunodeficiency Virus Infection,1900,5.36
2015,Human Immunodeficiency Virus Infection,1934,5.42
2016,Human Immunodeficiency Virus Infection,2149,5.95
2017,Human Immunodeficiency Virus Infection,2137,5.85
2018,Human Immunodeficiency Virus Infection,2285,6.16
2019,Human Immunodeficiency Virus Infection,2075,5.52
2020,Human Immunodeficiency Virus Infection,1636,4.3
2021,Human Immunodeficiency Virus Infection,1472,3.85
1924,Typhoid  ,2181,24.11
1925,Typhoid  ,1965,21.37
1926,Typhoid  ,1824,19.5
1927,Typhoid  ,8113,85.07
1928,Typhoid  ,2231,22.92
1929,Typhoid  ,1870,18.67
1930,Typhoid  ,2200,21.58
1931,Typhoid  ,2290,22.1
1932,Typhoid  ,2375,22.63
1933,Typhoid  ,2187,20.59
1934,Typhoid  ,2224,20.73
1935,Typhoid  ,1865,17.22
1936,Typhoid  ,1737,15.89
1937,Typhoid  ,2147,19.47
1938,Typhoid  ,1741,15.63
1939,Typhoid  ,1233,10.96
1940,Typhoid  ,1499,13.19
1941,Typhoid  ,1371,11.93
1942,Typhoid  ,1036,8.9
1943,Typhoid  ,1094,9.29
1944,Typhoid  ,1203,10.08
1945,Typhoid  ,772,6.4
1946,Typhoid  ,681,5.55
1947,Typhoid  ,565,4.51
1948,Typhoid  ,486,3.8
1949,Typhoid  ,637,4.75
1950,Typhoid  ,536,3.92
1951,Typhoid  ,437,3.12
1952,Typhoid  ,459,3.18
1953,Typhoid  ,,
1954,Typhoid  ,,
1955,Typhoid  ,,
1956,Typhoid  ,,
1957,Typhoid  ,,
1958,Typhoid  ,,
1959,Typhoid  ,,
1960,Typhoid  ,,
1961,Typhoid  ,,
1962,Typhoid  ,,
1963,Typhoid  ,,
1964,Typhoid  ,,
1965,Typhoid  ,,
1966,Typhoid  ,,
1967,Typhoid  ,,
1968,Typhoid  ,,
1969,Typhoid  ,77,0.37
1970,Typhoid  ,51,0.24
1971,Typhoid  ,99,0.45
1972,Typhoid  ,102,0.46
1973,Typhoid  ,100,0.44
1974,Typhoid  ,122,0.53
1975,Typhoid  ,132,0.57
1976,Typhoid  ,220,0.94
1977,Typhoid  ,89,0.38
1978,Typhoid  ,99,0.41
1979,Typhoid  ,108,0.45
1980,Typhoid  ,85,0.35
1981,Typhoid  ,76,0.31
1982,Typhoid  ,65,0.26
1983,Typhoid  ,98,0.39
1984,Typhoid  ,65,0.25
1985,Typhoid  ,58,0.22
1986,Typhoid  ,70,0.27
1987,Typhoid  ,59,0.22
1988,Typhoid  ,76,0.28
1989,Typhoid  ,114,0.42
1990,Typhoid  ,133,0.48
1991,Typhoid  ,92,0.33
1992,Typhoid  ,101,0.36
1993,Typhoid  ,112,0.39
1994,Typhoid  ,104,0.36
1995,Typhoid  ,90,0.31
1996,Typhoid  ,68,0.23
1997,Typhoid  ,73,0.24
1998,Typhoid  ,83,0.28
1999,Typhoid  ,77,0.25
2000,Typhoid  ,86,0.28
2001,Typhoid  ,99,0.32
2002,Typhoid  ,99,0.32
2003,Typhoid  ,112,0.35
2004,Typhoid  ,116,0.36
2005,Typhoid  ,108,0.33
2006,Typhoid  ,147,0.45
2007,Typhoid  ,152,0.46
2008,Typhoid  ,182,0.55
2009,Typhoid  ,142,0.42
2010,Typhoid  ,175,0.51
2011,Typhoid  ,186,0.54
2012,Typhoid  ,143,0.41
2013,Typhoid  ,128,0.36
2014,Typhoid  ,133,0.38
2015,Typhoid  ,121,0.34
2016,Typhoid  ,127,0.35
2017,Typhoid  ,190,0.52
2018,Typhoid  ,190,0.51
2019,Typhoid  ,216,0.57
2020,Typhoid  ,98,0.26
2021,Typhoid  ,57,0.15
1924,Yellow Fever,,
1925,Yellow Fever,,
1926,Yellow Fever,,
1927,Yellow Fever,,
1928,Yellow Fever,,
1929,Yellow Fever,,
1930,Yellow Fever,0,0
1931,Yellow Fever,0,0
1932,Yellow Fever,0,0
1933,Yellow Fever,0,0
1934,Yellow Fever,0,0
1935,Yellow Fever,0,0
1936,Yellow Fever,0,0
1937,Yellow Fever,0,0
1938,Yellow Fever,0,0
1939,Yellow Fever,0,0
1940,Yellow Fever,0,0
1941,Yellow Fever,0,0
1942,Yellow Fever,0,0
1943,Yellow Fever,0,0
1944,Yellow Fever,0,0
1945,Yellow Fever,0,0
1946,Yellow Fever,0,0
1947,Yellow Fever,0,0
1948,Yellow Fever,0,0
1949,Yellow Fever,0,0
1950,Yellow Fever,0,0
1951,Yellow Fever,0,0
1952,Yellow Fever,0,0
1953,Yellow Fever,0,0
1954,Yellow Fever,0,0
1955,Yellow Fever,0,0
1956,Yellow Fever,0,0
1957,Yellow Fever,0,0
1958,Yellow Fever,0,0
1959,Yellow Fever,0,0
1960,Yellow Fever,0,0
1961,Yellow Fever,0,0
1962,Yellow Fever,0,0
1963,Yellow Fever,0,0
1964,Yellow Fever,0,0
1965,Yellow Fever,0,0
1966,Yellow Fever,0,0
1967,Yellow Fever,0,0
1968,Yellow Fever,0,0
1969,Yellow Fever,0,0
1970,Yellow Fever,0,0
1971,Yellow Fever,0,0
1972,Yellow Fever,0,0
1973,Yellow Fever,0,0
1974,Yellow Fever,0,0
1975,Yellow Fever,0,0
1976,Yellow Fever,0,0
1977,Yellow Fever,0,0
1978,Yellow Fever,0,0
1979,Yellow Fever,0,0
1980,Yellow Fever,0,0
1981,Yellow Fever,0,0
1982,Yellow Fever,0,0
1983,Yellow Fever,0,0
1984,Yellow Fever,0,0
1985,Yellow Fever,0,0
1986,Yellow Fever,0,0
1987,Yellow Fever,0,0
1988,Yellow Fever,0,0
1989,Yellow Fever,0,0
1990,Yellow Fever,0,0
1991,Yellow Fever,0,0
1992,Yellow Fever,0,0
1993,Yellow Fever,0,0
1994,Yellow Fever,0,0
1995,Yellow Fever,0,0
1996,Yellow Fever,0,0
1997,Yellow Fever,0,0
1998,Yellow Fever,0,0
1999,Yellow Fever,0,0
2000,Yellow Fever,0,0
2001,Yellow Fever,0,0
2002,Yellow Fever,0,0
2003,Yellow Fever,0,0
2004,Yellow Fever,0,0
2005,Yellow Fever,0,0
2006,Yellow Fever,0,0
2007,Yellow Fever,0,0
2008,Yellow Fever,1,0.003
2009,Yellow Fever,0,0
2010,Yellow Fever,0,0
2011,Yellow Fever,2,0.01
2012,Yellow Fever,2,0.01
2013,Yellow Fever,0,0
2014,Yellow Fever,4,0.01
2015,Yellow Fever,3,0.01
2016,Yellow Fever,2,0.01
2017,Yellow Fever,0,0
2018,Yellow Fever,1,0.004
2019,Yellow Fever,2,0.01
2020,Yellow Fever,1,0.004
2021,Yellow Fever,0,0
1924,Group B Streptococcal Disease of the Newborn,,
1925,Group B Streptococcal Disease of the Newborn,,
1926,Group B Streptococcal Disease of the Newborn,,
1927,Group B Streptococcal Disease of the Newborn,,
1928,Group B Streptococcal Disease of the Newborn,,
1929,Group B Streptococcal Disease of the Newborn,,
1930,Group B Streptococcal Disease of the Newborn,,
1931,Group B Streptococcal Disease of the Newborn,,
1932,Group B Streptococcal Disease of the Newborn,,
1933,Group B Streptococcal Disease of the Newborn,,
1934,Group B Streptococcal Disease of the Newborn,,
1935,Group B Streptococcal Disease of the Newborn,,
1936,Group B Streptococcal Disease of the Newborn,,
1937,Group B Streptococcal Disease of the Newborn,,
1938,Group B Streptococcal Disease of the Newborn,,
1939,Group B Streptococcal Disease of the Newborn,,
1940,Group B Streptococcal Disease of the Newborn,,
1941,Group B Streptococcal Disease of the Newborn,,
1942,Group B Streptococcal Disease of the Newborn,,
1943,Group B Streptococcal Disease of the Newborn,,
1944,Group B Streptococcal Disease of the Newborn,,
1945,Group B Streptococcal Disease of the Newborn,,
1946,Group B Streptococcal Disease of the Newborn,,
1947,Group B Streptococcal Disease of the Newborn,,
1948,Group B Streptococcal Disease of the Newborn,,
1949,Group B Streptococcal Disease of the Newborn,,
1950,Group B Streptococcal Disease of the Newborn,,
1951,Group B Streptococcal Disease of the Newborn,,
1952,Group B Streptococcal Disease of the Newborn,,
1953,Group B Streptococcal Disease of the Newborn,,
1954,Group B Streptococcal Disease of the Newborn,,
1955,Group B Streptococcal Disease of the Newborn,,
1956,Group B Streptococcal Disease of the Newborn,,
1957,Group B Streptococcal Disease of the Newborn,,
1958,Group B Streptococcal Disease of the Newborn,,
1959,Group B Streptococcal Disease of the Newborn,,
1960,Group B Streptococcal Disease of the Newborn,,
1961,Group B Streptococcal Disease of the Newborn,,
1962,Group B Streptococcal Disease of the Newborn,,
1963,Group B Streptococcal Disease of the Newborn,,
1964,Group B Streptococcal Disease of the Newborn,,
1965,Group B Streptococcal Disease of the Newborn,,
1966,Group B Streptococcal Disease of the Newborn,,
1967,Group B Streptococcal Disease of the Newborn,,
1968,Group B Streptococcal Disease of the Newborn,,
1969,Group B Streptococcal Disease of the Newborn,,
1970,Group B Streptococcal Disease of the Newborn,,
1971,Group B Streptococcal Disease of the Newborn,,
1972,Group B Streptococcal Disease of the Newborn,,
1973,Group B Streptococcal Disease of the Newborn,,
1974,Group B Streptococcal Disease of the Newborn,,
1975,Group B Streptococcal Disease of the Newborn,,
1976,Group B Streptococcal Disease of the Newborn,,
1977,Group B Streptococcal Disease of the Newborn,,
1978,Group B Streptococcal Disease of the Newborn,,
1979,Group B Streptococcal Disease of the Newborn,,
1980,Group B Streptococcal Disease of the Newborn,,
1981,Group B Streptococcal Disease of the Newborn,,
1982,Group B Streptococcal Disease of the Newborn,,
1983,Group B Streptococcal Disease of the Newborn,,
1984,Group B Streptococcal Disease of the Newborn,,
1985,Group B Streptococcal Disease of the Newborn,,
1986,Group B Streptococcal Disease of the Newborn,,
1987,Group B Streptococcal Disease of the Newborn,,
1988,Group B Streptococcal Disease of the Newborn,,
1989,Group B Streptococcal Disease of the Newborn,,
1990,Group B Streptococcal Disease of the Newborn,,
1991,Group B Streptococcal Disease of the Newborn,,
1992,Group B Streptococcal Disease of the Newborn,,
1993,Group B Streptococcal Disease of the Newborn,,
1994,Group B Streptococcal Disease of the Newborn,,
1995,Group B Streptococcal Disease of the Newborn,,
1996,Group B Streptococcal Disease of the Newborn,,
1997,Group B Streptococcal Disease of the Newborn,,
1998,Group B Streptococcal Disease of the Newborn,,
1999,Group B Streptococcal Disease of the Newborn,,
2000,Group B Streptococcal Disease of the Newborn,55,26.86
2001,Group B Streptococcal Disease of the Newborn,72,34.54
2002,Group B Streptococcal Disease of the Newborn,73,35.83
2003,Group B Streptococcal Disease of the Newborn,73,35.25
2004,Group B Streptococcal Disease of the Newborn,63,30.23
2005,Group B Streptococcal Disease of the Newborn,67,31.97
2006,Group B Streptococcal Disease of the Newborn,70,32.88
2007,Group B Streptococcal Disease of the Newborn,53,24.18
2008,Group B Streptococcal Disease of the Newborn,65,29.06
2009,Group B Streptococcal Disease of the Newborn,56,24.96
2010,Group B Streptococcal Disease of the Newborn,67,30.17
2011,Group B Streptococcal Disease of the Newborn,70,25.6
2012,Group B Streptococcal Disease of the Newborn,78,28.2
2013,Group B Streptococcal Disease of the Newborn,91,33.09
2014,Group B Streptococcal Disease of the Newborn,101,36.14
2015,Group B Streptococcal Disease of the Newborn,95,32.17
2016,Group B Streptococcal Disease of the Newborn,113,38.07
2017,Group B Streptococcal Disease of the Newborn,112,38.11
2018,Group B Streptococcal Disease of the Newborn,91,31.31
2019,Group B Streptococcal Disease of the Newborn,63,22.96
2020,Group B Streptococcal Disease of the Newborn,44,16.6
2021,Group B Streptococcal Disease of the Newborn,54,19.96
1924,Chlamydia,,
1925,Chlamydia,,
1926,Chlamydia,,
1927,Chlamydia,,
1928,Chlamydia,,
1929,Chlamydia,,
1930,Chlamydia,,
1931,Chlamydia,,
1932,Chlamydia,,
1933,Chlamydia,,
1934,Chlamydia,,
1935,Chlamydia,,
1936,Chlamydia,,
1937,Chlamydia,,
1938,Chlamydia,,
1939,Chlamydia,,
1940,Chlamydia,,
1941,Chlamydia,,
1942,Chlamydia,,
1943,Chlamydia,,
1944,Chlamydia,,
1945,Chlamydia,,
1946,Chlamydia,,
1947,Chlamydia,,
1948,Chlamydia,,
1949,Chlamydia,,
1950,Chlamydia,,
1951,Chlamydia,,
1952,Chlamydia,,
1953,Chlamydia,,
1954,Chlamydia,,
1955,Chlamydia,,
1956,Chlamydia,,
1957,Chlamydia,,
1958,Chlamydia,,
1959,Chlamydia,,
1960,Chlamydia,,
1961,Chlamydia,,
1962,Chlamydia,,
1963,Chlamydia,,
1964,Chlamydia,,
1965,Chlamydia,,
1966,Chlamydia,,
1967,Chlamydia,,
1968,Chlamydia,,
1969,Chlamydia,,
1970,Chlamydia,,
1971,Chlamydia,,
1972,Chlamydia,,
1973,Chlamydia,,
1974,Chlamydia,,
1975,Chlamydia,,
1976,Chlamydia,,
1977,Chlamydia,,
1978,Chlamydia,,
1979,Chlamydia,,
1980,Chlamydia,,
1981,Chlamydia,,
1982,Chlamydia,,
1983,Chlamydia,,
1984,Chlamydia,,
1985,Chlamydia,,
1986,Chlamydia,,
1987,Chlamydia,,
1988,Chlamydia,,
1989,Chlamydia,,
1990,Chlamydia,,
1991,Chlamydia,46443,170.17
1992,Chlamydia,48156,169.74
1993,Chlamydia,45491,158.59
1994,Chlamydia,43535,150.12
1995,Chlamydia,40237,137.32
1996,Chlamydia,34733,117.3
1997,Chlamydia,34913,116.74
1998,Chlamydia,39372,130.56
1999,Chlamydia,41939,137.95
2000,Chlamydia,45841,149.39
2001,Chlamydia,49975,161.1
2002,Chlamydia,56181,179.15
2003,Chlamydia,60028,189.7
2004,Chlamydia,64109,200.71
2005,Chlamydia,66406,205.95
2006,Chlamydia,69336,212.88
2007,Chlamydia,73937,224.81
2008,Chlamydia,82708,248.77
2009,Chlamydia,87283,259.55
2010,Chlamydia,94716,278.54
2011,Chlamydia,101393,295.27
2012,Chlamydia,105281,303.28
2013,Chlamydia,105322,300.21
2014,Chlamydia,109282,308.38
2015,Chlamydia,116445,326.15
2016,Chlamydia,121221,335.7
2017,Chlamydia,126319,345.65
2018,Chlamydia,133435,360
2019,Chlamydia,139562,371.16
2020,Chlamydia,106030,278.97
2021,Chlamydia,104426,273.18
1924,Viral Haemorrhagic Fever,,
1925,Viral Haemorrhagic Fever,,
1926,Viral Haemorrhagic Fever,,
1927,Viral Haemorrhagic Fever,,
1928,Viral Haemorrhagic Fever,,
1929,Viral Haemorrhagic Fever,,
1930,Viral Haemorrhagic Fever,,
1931,Viral Haemorrhagic Fever,,
1932,Viral Haemorrhagic Fever,,
1933,Viral Haemorrhagic Fever,,
1934,Viral Haemorrhagic Fever,,
1935,Viral Haemorrhagic Fever,,
1936,Viral Haemorrhagic Fever,,
1937,Viral Haemorrhagic Fever,,
1938,Viral Haemorrhagic Fever,,
1939,Viral Haemorrhagic Fever,,
1940,Viral Haemorrhagic Fever,,
1941,Viral Haemorrhagic Fever,,
1942,Viral Haemorrhagic Fever,,
1943,Viral Haemorrhagic Fever,,
1944,Viral Haemorrhagic Fever,,
1945,Viral Haemorrhagic Fever,,
1946,Viral Haemorrhagic Fever,,
1947,Viral Haemorrhagic Fever,,
1948,Viral Haemorrhagic Fever,,
1949,Viral Haemorrhagic Fever,,
1950,Viral Haemorrhagic Fever,,
1951,Viral Haemorrhagic Fever,,
1952,Viral Haemorrhagic Fever,,
1953,Viral Haemorrhagic Fever,,
1954,Viral Haemorrhagic Fever,,
1955,Viral Haemorrhagic Fever,,
1956,Viral Haemorrhagic Fever,,
1957,Viral Haemorrhagic Fever,,
1958,Viral Haemorrhagic Fever,,
1959,Viral Haemorrhagic Fever,,
1960,Viral Haemorrhagic Fever,,
1961,Viral Haemorrhagic Fever,,
1962,Viral Haemorrhagic Fever,,
1963,Viral Haemorrhagic Fever,,
1964,Viral Haemorrhagic Fever,,
1965,Viral Haemorrhagic Fever,,
1966,Viral Haemorrhagic Fever,,
1967,Viral Haemorrhagic Fever,,
1968,Viral Haemorrhagic Fever,,
1969,Viral Haemorrhagic Fever,,
1970,Viral Haemorrhagic Fever,,
1971,Viral Haemorrhagic Fever,,
1972,Viral Haemorrhagic Fever,,
1973,Viral Haemorrhagic Fever,,
1974,Viral Haemorrhagic Fever,,
