cause,cause_corrected,synonym,nesting_cause
rheumatism.diseases.of.the.bones.joints.etc,Rheumatism Diseases Of The Bones Joints Etc,Rheumatism Diseases Of The Bones Joints Etc,all
diseases.of.the.skin.cellular.tissue.etc,Diseases Of The Skin Cellular Tissue Etc,Diseases Of The Skin Cellular Tissue Etc,all
malformations,,Malformation,all
premature.birth.and.debility,,Premature Birth and Debility,all
sudden,,Sudden,all
violence.privation.cold.and.intemperance,Violence Privation Cold And Intemperance,Violence Privation Cold And Intemperance,all
acm,,all,
premature.birth.,,Premature Birth,Premature Birth and Debility
death.all.causes,,all,
death.specified.causes,,Specified Causes,all
age,,Aged,all
annual.death.all.causes,,all,
annual.death.specified.causes,,Specified Causes,all
annual.deaths,,all,
female.deaths,,all,
males.deaths,,all,
females.death,,all,
males.death,,all,
male.deaths,,all,
buried.female,,all,
buried.male,,all,
buried.total,,all,
total,,all,
,,all,
