cause,cause_corrected,synonym,nesting_cause
hepatisis,Hepatisis,Hepatisis,Diseases Of The Stomach Liver And Other Organs Of Digestion
hepatitis,Hepatitis,Hepatitis,Diseases Of The Stomach Liver And Other Organs Of Digestion
hepatits,Hepatits,Hepatits,Diseases Of The Stomach Liver And Other Organs Of Digestion
hernia,Hernia,Hernia,Diseases Of The Stomach Liver And Other Organs Of Digestion
Hernia,Hernia,Hernia,Diseases Of The Stomach Liver And Other Organs Of Digestion
hernia.intestinal.obstruction,Hernia Intestinal Obstruction,Hernia Intestinal Obstruction,Diseases Of The Stomach Liver And Other Organs Of Digestion
Hiccough,Hiccough,Hiccough,all
hickcough,Hickcough,Hiccough,all
Hickcough,Hickcough,Hiccough,all
hicket,Hicket,Hiccough,all
Hicket,Hicket,Hiccough,all
Hidebound,Hidebound,Hidebound,all
hodgkins.disease,Hodgkins Disease,Hodgkins Disease,all
homicide.murder.and.manslaughter,Homicide Murder And Manslaughter,Homicide Murder And Manslaughter,all
hooping.cough,Hooping Cough,Whooping Cough,Zymotic Diseases
Hooping Cough,Hooping Cough,Whooping Cough,Zymotic Diseases
horse.shoo.head,Horse Shoo Head,Horseshoohead,all
Horse shoo-head,Horse Shoo-Head,Horseshoohead,all
Horseshoehead,Horseshoehead,Horseshoehead,all
hydrocephalus,Hydrocephalus,Hydrocephalus,all
hydrocephlus,Hydrocephlus,Hydrocephalus,all
hydrophobia,Hydrophobia,Hydrophobia,Zymotic Diseases
Hydrophobia,Hydrophobia,Hydrophobia,Zymotic Diseases
hyperplasia.of.prostate,Hyperplasia Of Prostate,Hyperplasia Of Prostate,all
hypertensio.without.mention.of.heart,Hypertensio Without Mention Of Heart,Hypertensio Without Mention Of Heart,all
hypertension.with.heart.disease,Hypertension With Heart Disease,Hypertension With Heart Disease,all
hystericks,Hystericks,Hysterics,all
Hystericks,Hystericks,Hysterics,all
Hysterics,Hysterics,Hysterics,all
ileus,Ileus,Ileus,Diseases Of The Stomach Liver And Other Organs Of Digestion
ill.defined.causes,Ill Defined Causes,Ill Defined Causes,all
imposthume,Imposthume,Imposthume,all
Imposthume,Imposthume,Imposthume,all
Imposthume [...],Imposthume,Imposthume,all
indigestion,Indigestion,Indigestion,all
Indigestion,Indigestion,Indigestion,all
infantile.fever,Infantile Fever,Infantile Fever,Zymotic Diseases
infants,Infants,Infants,all
Infants,Infants,Infants,all
inflamation,Inflamation,Inflammation,all
inflamation.of.brain,Inflamation Of Brain,Inflammation Of Brain,all
inflamation.of.lungs.&.pleura,Inflamation Of Lungs & Pleura,Inflammation Of Lungs & Pleura,Diseases Of The Lungs And Of The Other Organs Of Respiration
inflamation.of.the.bowels,Inflamation Of The Bowels,Inflammation Of The Bowels,all
inflamation.of.the.liver,Inflamation Of The Liver,Inflammation Of The Liver,all
inflamation.of.the.womb,Inflamation Of The Womb,Inflammation Of The Womb,all
Inflammation,Inflammation,Inflammation,all
Inflammation in the lungs,Inflammation In The Lungs,Inflammation In The Lungs,all
Inflammation in the Womb,Inflammation In The Womb,Inflammation In The Womb,all
Inflammation of the Bowels,Inflammation Of The Bowels,Inflammation Of The Bowels,all
Inflammation of the Bowels and Stomach,Inflammation Of The Bowels And Stomach,Inflammation Of The Bowels And Stomach,all
Inflammation of the Brain,Inflammation Of The Brain,Inflammation Of The Brain,all
Inflammation of the Liver,Inflammation Of The Liver,Inflammation Of The Liver,all
Inflammation of the lungs,Inflammation Of The Lungs,Inflammation Of The Lungs,all
Inflammation of the Lungs,Inflammation Of The Lungs,Inflammation Of The Lungs,all
Inflammation of the Lungs and Pleura,Inflammation Of The Lungs And Pleura,Inflammation Of The Lungs And Pleura,all
Inflammation of the Womb,Inflammation Of The Womb,Inflammation Of The Womb,all
influenza,Influenza,Influenza,Zymotic Diseases
Influenza,Influenza,Influenza,Zymotic Diseases
injury.at.birth,Injury At Birth,Injury At Birth,all
inoculation,Inoculation,Inoculation,all
Inoculation,Inoculation,Inoculation,all
Insane,Insane,Insanity,Diseases Of The Brain Spinal Marrow Nerves And Senses
insanity,Insanity,Insanity,Diseases Of The Brain Spinal Marrow Nerves And Senses
Insanity,Insanity,Insanity,Diseases Of The Brain Spinal Marrow Nerves And Senses
intemperance,Intemperance,Intemperance,Violence Privation Cold And Intemperance
intestinal.obstruction.and.hernia,Intestinal Obstruction And Hernia,Intestinal Obstruction And Hernia,all
intussusception,Intussusception,Intussusception,Diseases Of The Stomach Liver And Other Organs Of Digestion
intussuscepton,Intussuscepton,Intussuscepton,Diseases Of The Stomach Liver And Other Organs Of Digestion
ischuria,Ischuria,Ischuria,Diseases Of The Kidneys Etc
Issue,Issue,Issue,all
itch,Itch,Itch,all
Itch,Itch,Itch,all
jail.distemper,Jail Distemper,Jail Distemper,all
Jail Distemper,Jail Distemper,Jail Distemper,all
jaundice,Jaundice,Jaundice,Diseases Of The Stomach Liver And Other Organs Of Digestion
Jaundice,Jaundice,Jaundice,Diseases Of The Stomach Liver And Other Organs Of Digestion
jaundies,Jaundies,Jaundice,Diseases Of The Stomach Liver And Other Organs Of Digestion
Jaundies,Jaundies,Jaundice,Diseases Of The Stomach Liver And Other Organs Of Digestion
Jaw Falne,Jaw Falne,Jawfallen,all
jawfallen,Jawfallen,Jawfallen,all
Jawfallen,Jawfallen,Jawfallen,all
jawfalne,Jawfalne,Jawfallen,all
joint.disease,Joint Disease,Joint Disease,all
joint.disease.&.c,Joint Disease & C,Joint Disease,all
joint.disease.other,Joint Disease Other,Joint Disease Other,all
kidney.disease,Kidney Disease,Kidney Disease,all
kidney.disease.&.c,Kidney Disease & C,Kidney Disease,all
kidney.disease.other,Kidney Disease Other,Kidney Disease Other,all
killed,Killed,Killed,all
Killed [...],Killed,Killed,all
killed.accidentally,Killed Accidentally,Killed,all
kingsevil,Kingsevil,Kingsevil,all
Kingsevil,Kingsevil,Kingsevil,all
lameness,Lameness,Lameness,all
Lameness,Lameness,Lameness,all
lameness.in.the.limbs,Lameness In The Limbs,Lameness,all
laryngitis,Laryngitis,Laryngitis,Diseases Of The Lungs And Of The Other Organs Of Respiration
Leprosie,Leprosie,Leprosy,all
leprosy,Leprosy,Leprosy,all
Leprosy,Leprosy,Leprosy,all
